pypsa_component,reservoir_id,p_nom_mw,e_nom_mwh,energy_capacity_method,soc_source,soc_proxy_reservoir,initial_soc_method,terminal_soc_method,boundary_data_resolution,soc_boundary_tolerance_pu,weekly_balance_method,efficiency,head_m,data_quality,source,p_nom_source,notes
hydro_aliyar,Parambikulam,60.0,93434.07452399998,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Parambikulam,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_kodayar,Pechiparai,100.0,30209.4711,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Pechiparai,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_kundah,,555.0,399600.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_moyar,,40.0,28800.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_parsons_valley,,30.0,21600.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_pykara,,59.2,42624.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_pykara_ultimate,,150.0,108000.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_sarkarpathy,Parambikulam,30.0,93434.07452399998,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Parambikulam,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_suruliyar,,35.0,25200.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,TANGEDCO monthly Suruliyar stored-energy series is not yet loaded; use the explicit neutral seasonal assumption and retain low data quality.
Mettur_downstream,Mettur_downstream,,22549121.66982,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for turbine discharge, irrigation release, and spill."
Periyar_downstream,Periyar_downstream,,4453405.54242,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for turbine discharge, irrigation release, and spill."
Thunacadavu,Thunacadavu,,14015.111178599996,observed_or_documented_proxy,endogenous_pondage,,proxy_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Initial fraction may use the connected Parambikulam SOC proxy; weekly water-neutral thereafter.
Upper_Aliyar,Upper_Aliyar,,93434.07452399998,observed_or_documented_proxy,proxy_connected_reservoir,,proxy_fraction,proxy_target,proxy,0.05,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,PAP seasonal proxy; lower Aliyar absolute storage is not copied.
Lower_Aliyar,Lower_Aliyar,,93434.07452399998,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Receives PAP turbine discharge.
PAP_downstream,PAP_downstream,,2411911.135524,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for non-generating PAP irrigation releases, spill, and lower-pondage outflow."
