asset_id,match_regex,representation,data_status,max_hours,p_nom_source,notes,installed_turbine_mw,electrical_bus,model_component
mettur,^mettur_(dam|tunnel),reservoir,observed Agriculture storage/inflow/outflow,720,official_tamil_nadu_generation_inventory,Mettur Dam and Tunnel share Stanley reservoir; official units are deliberately aggregated.,250.0,Erode,explicit hydraulic Store and official turbine Link(s)
bhavani_kattalai,^bhavani_kattalai_,run_of_river,observed Bhavanisagar upstream-release availability,0,official_tamil_nadu_generation_inventory,Barrage cascade; no independent reservoir storage.,90.0,Erode,unit generators
lower_mettur,^lower_mettur_,run_of_river,observed Mettur upstream-release availability,0,official_tamil_nadu_generation_inventory,Cauvery barrage cascade; shared upstream release.,120.0,Erode,unit generators
bhavani_sagar,^bhavani_sagar_,reservoir,ready when official capacity record is in scope,720,official_tamil_nadu_generation_inventory,No capacity is invented from reservoir data.,,,hydro_bhavani_sagar
sholayar,^sholayar_,cascade_proxy,explicit PAP Store+Link; observed Sholayar storage/inflow,720,official_tamil_nadu_generation_inventory,Official 84 MW units retain individual Links; 109 MW is reference only.,84.0,Coimbatore,hydro_sholayar
sarkarpathy,^sarkarpathy_,cascade_proxy,explicit PAP Store+Link; proxy Thunacadavu SOC,720,official_tamil_nadu_generation_inventory,Official capacity is separate from group PAP storage.,30.0,Coimbatore,hydro_sarkarpathy
aliyar,^aliyar_,cascade_proxy,explicit PAP Store+Link; proxy Upper Aliyar SOC,720,official_tamil_nadu_generation_inventory,Official capacity is separate from group PAP storage.,60.0,Coimbatore,hydro_aliyar
kadamparai,^kadmparai_,pumped_storage,explicit Store plus individual generation Links and aggregate pump,0,official_tamil_nadu_generation_inventory,Four official 100 MW reversible units retained.,,,hydro_kadamparai
kodayar,^kodayar_,cascade_proxy,explicit Kodayar I and II Stores and turbine Links,720,official_tamil_nadu_generation_inventory,60 MW and 40 MW official units are separate hydraulic stages.,100.0,Tirunelveli,hydro_kodayar
kundah,^kundah_,cascade_proxy,explicit aggregate water Stores plus individual official turbine Links,720,official_tamil_nadu_generation_inventory,Official 555 MW units retain individual Links; 585 MW is reference only.,555.0,Coimbatore,hydro_kundah
moyar,^moyar_,reservoir,explicit Pykara/Moyar cascade pondage plus individual Links,720,official_tamil_nadu_generation_inventory,Official 40 MW units retain individual Links; 38 MW is reference only.,40.0,Coimbatore,explicit hydraulic Store and official turbine Link(s)
papanasam,^papanasam_,reservoir,explicit Papanasam/Servalar Stores plus individual Links,720,official_tamil_nadu_generation_inventory,Official 32 MW Papanasam powerhouse draws from the separate lower pondage.,32.0,Tirunelveli,explicit hydraulic Store and official turbine Link(s)
servalar,^servalar_small_hydro_project__,cascade_proxy,separate Servalar reservoir and official turbine Link,720,official_tamil_nadu_generation_inventory,Official 20 MW Servalar unit discharges to Papanasam lower pondage.,20.0,Tirunelveli,explicit hydraulic Store and official turbine Link(s)
parsons_valley,^parson_s_valley_,cascade_proxy,explicit downstream Kundah stage and individual Link,720,official_tamil_nadu_generation_inventory,Separate official powerhouse; not included in Kundah 555 MW.,30.0,Coimbatore,hydro_parsons_valley
periyar,^periyar_,reservoir,observed Agriculture storage/inflow,720,official_tamil_nadu_generation_inventory,Official units deliberately aggregate to one reservoir StorageUnit.,168.0,Madurai,explicit hydraulic Store and official turbine Link(s)
pykara,^pykara_hydroelectric_,cascade_proxy,explicit Pykara Store plus individual turbine Links,720,official_tamil_nadu_generation_inventory,Official 59.2 MW units retain individual Links; 61.2 MW is reference only.,59.2,Coimbatore,hydro_pykara
pykara_ultimate,^pykara_ultimate_,cascade_proxy,explicit Pykara/Moyar forebay and individual Links,720,official_tamil_nadu_generation_inventory,Separate official powerhouse.,150.0,Coimbatore,hydro_pykara_ultimate
suruliyar,^suruliyar_,reservoir,storage/inflow series required,720,official_tamil_nadu_generation_inventory,Official units deliberately aggregate to one reservoir StorageUnit.,35.0,Madurai,hydro_suruliyar
