pypsa_component,reservoir_id,p_nom_mw,e_nom_mwh,energy_capacity_method,soc_source,soc_proxy_reservoir,initial_soc_method,terminal_soc_method,boundary_data_resolution,soc_boundary_tolerance_pu,weekly_balance_method,efficiency,head_m,data_quality,source,p_nom_source,notes
hydro_aliyar,Parambikulam,60.0,93434.07452399998,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Parambikulam,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_kodayar,Pechiparai,100.0,30209.4711,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Pechiparai,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_kundah,,555.0,399600.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_mettur,METTUR,250.0,649121.66982,agriculture_volume_x_fixed_head,observed_agriculture,,observed_daily,observed_daily_target,daily,0.0,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_moyar,,40.0,28800.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_papanasam,Papanasam (TN EB Dam),32.0,38195.882999999994,agriculture_volume_x_fixed_head,observed_agriculture,,observed_daily,observed_daily_target,daily,0.0,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_parsons_valley,,30.0,21600.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_periyar,Periyar,168.0,73405.54242,agriculture_volume_x_fixed_head,observed_agriculture,,observed_daily,observed_daily_target,daily,0.0,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_pykara,,59.2,42624.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_pykara_ultimate,,150.0,108000.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,No natural inflow assigned; weekly SOC is a documented neutral assumption.
hydro_sarkarpathy,Parambikulam,30.0,93434.07452399998,agriculture_volume_x_fixed_head,proxy_connected_reservoir,Parambikulam,proxy_fraction,proxy_target,proxy,0.0,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_sholayar,Sholayar,84.0,35042.986476,agriculture_volume_x_fixed_head,observed_agriculture,,observed_daily,observed_daily_target,daily,0.0,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture daily reservoir database,official_tamil_nadu_generation_inventory,Fixed-head first implementation; inflow is uniformly distributed over 24 hours.
hydro_suruliyar,,35.0,25200.0,documented_assumption,assumed,,assumed_fraction,explicit_assumed_target,none,0.05,explicit_assumption,0.9,,low,No reservoir observation mapped,official_tamil_nadu_generation_inventory,TANGEDCO monthly Suruliyar stored-energy series is not yet loaded; use the explicit neutral seasonal assumption and retain low data quality.
Mettur_reservoir,Mettur_reservoir,,649121.66982,observed_or_documented_proxy,observed_agriculture,,observed_daily,observed_daily_target,daily,0.05,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Seasonal Mettur reservoir with explicit turbine and non-generating release paths.
