Name,Sector,Circuit Type,Executive Agency,Line Length (cKM),Month Of Completion,Year Of Completion (FY),matched_districts,matched_areas,matched_district_count,matched_area_count,endpoint0_district,endpoint1_district,area0,area1,is_tantransco,capacity_available,capacity_mw,capacity_note
+/- 800KV HVDC Biswanath Chariyali - Agra  Bi-pole line,Central,BIPOLE,PGCIL,3506.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sasan - Vindhyachal (PS),Central,S/C,PGCIL,6.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Meerut - Moga line,Central,S/C,PGCIL,337.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Raigarh Pooling Station (Near Kotra) - Champa Pooling Station line,Central,S/C,PGCIL,96.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Gwalior - Jaipur (Ckt 1),Central,S/C,PGCIL,305.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Gwalior - Jaipur line (Ckt 2),Central,S/C,PGCIL,311.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jaipur - Bhiwani line,Central,S/C,PGCIL,272.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rihand - Vindhyachal Pooling Station (2nd Ckt),Central,D/C,PGCIL,31.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Vindhyachal Pooling Station - Satna Ckt-II,Central,S/C,PGCIL,271.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Aurangabad - Solapur line,Central,D/C,PGCIL,556.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Dharamjaygarh - Jabalpur Pooling Station line,Central,D/C,PGCIL,848.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Narendra (New, Kudgi) - Kolhapur (new)",Central,D/C,PGCIL,374.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kurnool (New)  - Raichur line,Central,D/C,PGCIL,120.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ranchi (New) - Dharamjaygarh /Near Korba,Central,S/C,PGCIL,341.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Angul Pooling Station - Jharsuguda Pooling Station line-II,Central,S/C,PGCIL,284.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
400 kV D/C trans. Line for swapping of Kahalgaon #1 bay with Sasaram# 1 bay at Biharshariff S/Stn.,Central,D/C,PGCIL,20.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bareilly - Kashipur line (Quad),Central,D/C,PGCIL,202.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sholapur STPP - Sholapur line-I,Central,D/C,PGCIL,22.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Barh-II - Gorakhpur,Central,D/C,PGCIL,698.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Moga - Bhiwani at Hissar line,Central,D/C,PGCIL,4.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of  One Ckt of Baripada - Mendhasal line at Dubri (OPTCL),Central,D/C,PGCIL,32.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Dehar - Bhiwani at Rajpura (PSTCL),Central,S/C,PGCIL,29.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Silchar - Purba Kanchan Bari line (charged at 132KV),Central,D/C,PGCIL,254.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Vijayawada - Nellore line,Central,D/C,PGCIL,661.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of 2nd ckt of Neyveli - Trichy at Nagapattnam,Central,D/C,PGCIL,46.0,AUG-15,2015-16,Tiruchirappalli,Trichy,1,1,,Tiruchirappalli,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Salem Pooling Station - Salem,Central,D/C,PGCIL,120.0,AUG-15,2015-16,Salem,Erode,1,1,Salem,Salem,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Balipara - Biswanath Chariyali,Central,D/C,PGCIL,114.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mysore - Kozhikode,Central,D/C,PGCIL,420.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bhiwani - Hissar line,Central,D/C,PGCIL,113.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ranganadi - Balipara 400KV D/C line at Biswanath Chariyali (Pooling Point),Central,D/C,PGCIL,114.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Gooty - Madhugiri,Central,D/C,PGCIL,418.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kurukshetra - Jallandhar (Ckt-I),Central,D/C,PGCIL,266.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Abdullapur - Sonepat at Kurukshetra (Tripal),Central,D/C,PGCIL,30.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of both ckt of Kolhapur - Mapusa at Kolhapur (new),Central,D/C,PGCIL,90.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
