record_id,technology,carrier,plant_name,district,capacity_mw,unit_count,allocation_status,include_in_model,allocation_method,confidence,source_reference,notes,allocated_district,balancing_area
diesel_samayanallur,Diesel,diesel,"Madurai P, Samayanallur DG",Madurai,106.0,7,confirmed,True,Plant location from CEA station list,High,CEA List of Power Stations as on 31.03.2025,CEA unit-level total is 106.001 MW; 106.00 MW is used to reconcile to the rounded July 2026 state total. Diesel operating assumptions use the model oil-and-gas UC defaults.,Madurai,Madurai
diesel_samalpatti,Diesel,diesel,"Samalpati, Samalpatti DG",Krishnagiri,105.7,7,confirmed,True,Plant location from CEA station list,High,CEA List of Power Stations as on 31.03.2025,District confirmed by the Krishnagiri district government. Diesel operating assumptions use the model oil-and-gas UC defaults.,Krishnagiri,Vellore
solar_swelect_tiruvannamalai,Solar,solar,SWELECT AAI solar project,Tiruvannamalai,5.0,1,confirmed,True,Project-level commissioning disclosure,High,NSE filing SWELECTES 02.05.2026,Commissioned at Perumpoondi and Nedumpirai villages in Tiruvannamalai district.,Tiruvannamalai,Villupuram
solar_orient_tiruvannamalai,Solar,solar,Orient Green solar project,Tiruvannamalai,17.6,1,confirmed,True,Company annual-report commissioning disclosure,Medium,Orient Green Power Annual Report 2025-26,Reported as commissioned in Q1 FY2026-27; included in the July 2026 capacity overlay.,Tiruvannamalai,Villupuram
solar_residual_ariyalur,Solar,solar,Post-April 2026 ground-mounted solar residual,Ariyalur,0.41591556,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Ariyalur,Trichy
solar_residual_coimbatore,Solar,solar,Post-April 2026 ground-mounted solar residual,Coimbatore,1.271805818,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Coimbatore,Coimbatore
solar_residual_cuddalore,Solar,solar,Post-April 2026 ground-mounted solar residual,Cuddalore,3.892912096,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Cuddalore,Villupuram
solar_residual_dharmapuri,Solar,solar,Post-April 2026 ground-mounted solar residual,Dharmapuri,0.225063066,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Dharmapuri,Vellore
solar_residual_dindigul,Solar,solar,Post-April 2026 ground-mounted solar residual,Dindigul,17.665932017,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Dindigul,Madurai
solar_residual_erode,Solar,solar,Post-April 2026 ground-mounted solar residual,Erode,1.075922331,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Erode,Erode
solar_residual_kanchipuram,Solar,solar,Post-April 2026 ground-mounted solar residual,Kanchipuram,0.636508136,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Kancheepuram,Chennai South
solar_residual_kanyakumari,Solar,solar,Post-April 2026 ground-mounted solar residual,Kanyakumari,0.021407529,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Kanniyakumari,Tirunelveli
solar_residual_karur,Solar,solar,Post-April 2026 ground-mounted solar residual,Karur,9.870328894,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Karur,Trichy
solar_residual_krishnagiri,Solar,solar,Post-April 2026 ground-mounted solar residual,Krishnagiri,0.157209025,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Krishnagiri,Vellore
solar_residual_madurai,Solar,solar,Post-April 2026 ground-mounted solar residual,Madurai,1.536830845,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Madurai,Madurai
solar_residual_nagapattinam,Solar,solar,Post-April 2026 ground-mounted solar residual,Nagapattinam,0.079592272,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Nagapattinam,Trichy
solar_residual_namakkal,Solar,solar,Post-April 2026 ground-mounted solar residual,Namakkal,1.670532562,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Namakkal,Erode
solar_residual_perambalur,Solar,solar,Post-April 2026 ground-mounted solar residual,Perambalur,0.812917826,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Perambalur,Trichy
solar_residual_pudukkottai,Solar,solar,Post-April 2026 ground-mounted solar residual,Pudukkottai,0.220483241,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Pudukkottai,Trichy
solar_residual_ramanathapuram,Solar,solar,Post-April 2026 ground-mounted solar residual,Ramanathapuram,28.81367749,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Ramanathapuram,Madurai
solar_residual_sivaganga,Solar,solar,Post-April 2026 ground-mounted solar residual,Sivaganga,2.637806403,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Sivagangai,Madurai
solar_residual_theni,Solar,solar,Post-April 2026 ground-mounted solar residual,Theni,5.954644568,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Theni,Madurai
solar_residual_thoothukudi,Solar,solar,Post-April 2026 ground-mounted solar residual,Thoothukudi,43.14300798,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Thoothukudi,Tirunelveli
solar_residual_tiruchirappalli,Solar,solar,Post-April 2026 ground-mounted solar residual,Tiruchirappalli,4.273855636,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Tiruchirappalli,Trichy
solar_residual_tirunelveli,Solar,solar,Post-April 2026 ground-mounted solar residual,Tirunelveli,30.460388786,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Tirunelveli,Tirunelveli
solar_residual_tiruppur,Solar,solar,Post-April 2026 ground-mounted solar residual,Tiruppur,10.415239148,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Tiruppur,Coimbatore
solar_residual_tiruvallur,Solar,solar,Post-April 2026 ground-mounted solar residual,Tiruvallur,1.208720934,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Tiruvallur,Chennai North
solar_residual_tiruvannamalai,Solar,solar,Post-April 2026 ground-mounted solar residual,Tiruvannamalai,1.635468767,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Tiruvannamalai,Villupuram
solar_residual_vellore,Solar,solar,Post-April 2026 ground-mounted solar residual,Vellore,1.183194788,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Vellore,Vellore
solar_residual_virudhunagar,Solar,solar,Post-April 2026 ground-mounted solar residual,Virudhunagar,20.45063428,1,provisional,True,Scaled existing unspecified-utility solar allocation weight,Low,Validated workbook Solar District Evidence,Temporary district proxy pending a district-level commissioning register.,Virudhunagar,Tirunelveli
wind_residual_tirunelveli,Wind,wind,July 2026 wind-capacity residual,Tirunelveli,42.287572714,1,provisional,True,Scaled positive OSM wind residual-gap weight,Low,Validated workbook Wind District Evidence,Temporary district proxy pending a district-level commissioning register.,Tirunelveli,Tirunelveli
wind_residual_tiruppur,Wind,wind,July 2026 wind-capacity residual,Tiruppur,97.666298711,1,provisional,True,Scaled positive OSM wind residual-gap weight,Low,Validated workbook Wind District Evidence,Temporary district proxy pending a district-level commissioning register.,Tiruppur,Coimbatore
wind_residual_viluppuram,Wind,wind,July 2026 wind-capacity residual,Viluppuram,0.005628575,1,provisional,True,Scaled positive OSM wind residual-gap weight,Low,Validated workbook Wind District Evidence,Temporary district proxy pending a district-level commissioning register.,Viluppuram,Villupuram
cea_mnre_reporting_difference,Reporting difference,reporting_difference,CEA-MNRE renewable reporting-boundary difference,,49.31,0,unassigned,False,Not allocated,Unassigned,CEA and MNRE July 2026 installed-capacity reports,Excluded from PyPSA because no Tamil Nadu district or generation technology can be substantiated.,nan,
